1775,2212,2158
2593,1874,2162
2283,2943,2192
3335,2652,2200
2424,2204,2250
1594,2338,2265
2411,2954,2268
2283,2963,2291
3322,2865,2293
5130,2262,2306
3601,1542,2327
2300,2928,2346
2279,2971,2377
2223,2127,2429
2310,2966,2433
2315,2936,2438
2737,1513,2442
3323,2866,2448
2402,1050,2453
2305,2954,2479
964,1978,2500
1483,1847,2500
1753,1751,2500
3109,3166,2500
3590,1665,2500
2288,2939,2532
2354,1626,2589
2291,2970,2598
2317,2936,2600
3090,2433,2600
2267,3006,2700
2299,2961,2720
2296,2975,2864
2276,2972,2911
2306,2944,2922
1344,1952,2950
1615,1519,2953
2373,2392,2975
2310,2959,2985
1022,2066,3000
2119,2688,3000
2269,2971,3000
2571,1815,3000
2724,2952,3102
1903,1927,3200
2282,2970,3200
867,2085,3221
2293,2976,3238
3693,2933,3278
2922,2034,3332
3295,1374,3363
2310,2963,3459
2564,1643,3500
2305,2928,3582
2310,2928,3616
2341,2971,3651
1814,2367,3665
2320,2943,3665
2288,2958,3675
2315,2950,3696
1533,1958,3746
1816,2633,4000
1940,2888,4000
2336,2829,4000
1749,2158,4034
1119,1830,4050
2305,2936,4137
2651,3022,4150
1711,1171,4276
984,1115,4422
2429,1991,4491
1630,2795,4500
2320,2970,4600
2242,2971,4698
1717,2357,4800
2315,2952,5067
2259,2975,5265
2321,2965,5407
757,1938,5432
2446,2065,5507
2293,2948,5530
2309,2948,5737
2760,2268,6000
2584,1596,6530
1121,2244,6600
2280,2989,6921
2319,2967,7000
2330,2849,7000
2296,2943,7340
3649,1541,7620
2707,1410,8138
2711,1077,8490
2324,2932,9349
1602,1813,10155
1485,2285,12000
2562,2019,15000
2310,2958,15150
647,2350,17000
1940,2205,21336
2313,2952,46089
