3148,696,16921
2977,2416,17484
3714,2301,17782
1242,2350,18225
550,1595,18289
2104,2252,18333
2001,2096,18352
2865,969,18438
4924,2233,18631
3621,2319,18740
3678,2636,19009
2300,2267,19071
3083,2653,19277
3501,2849,19323
968,2348,19375
1134,1699,19631
2900,2751,19852
814,2026,20315
3451,1608,20837
578,1886,20957
2287,1062,21495
2274,1984,21904
3801,2797,21975
1879,1069,21985
3349,3030,22030
2841,1959,22086
2635,1695,22390
1929,1698,22763
3255,3021,23153
1719,2507,23270
2302,2362,24090
1580,1857,24099
1230,776,24291
3648,2009,24394
2619,2008,24685
693,744,24770
3365,1846,24839
2148,2442,24883
990,2048,25113
3332,2883,25282
2218,2304,25411
2419,1068,26045
593,1150,26992
2234,1253,27086
1581,2687,27087
5207,2276,27537
3341,2602,27962
447,1729,28175
3471,3158,28331
2808,2562,28925
1133,1089,28965
1166,2479,29763
1750,2459,29803
1237,1069,30046
3673,2929,30276
3001,975,30355
884,1938,31064
507,2107,31295
698,2326,32574
2855,1840,32971
2126,1098,32974
1819,1942,33127
1398,2394,33170
2154,1724,34208
2111,1965,36942
3302,3205,37042
1805,2371,37480
1398,2151,37648
1383,1030,37691
1935,1538,37973
3178,1643,39680
2167,1571,39711
982,1039,40743
1931,1379,41208
1232,2073,41496
2324,1884,43165
2249,2087,44121
1551,2419,44692
2631,1919,47833
2283,2513,51878
1647,1521,51895
2397,1615,52894
2445,2508,56657
2942,2591,56690
3471,2451,56703
3334,2333,56767
1723,2200,58364
1739,2642,64784
1433,1807,68557
3019,1639,73366
1736,1779,74227
1514,1980,75101
2041,1673,76610
2444,2597,83891
490,2268,89078
1682,1139,108188
2786,1483,141853
3621,1538,147433
2738,1094,197899
2484,2674,2695598
